"DJ"	"DAS"	"sim"	"Expe"	"Type"
134	7	0.613016789294714	"SILIGOOT"	"intercrop_aviso_RRF"
149	8	0.790811855114433	"SILIGOOT"	"intercrop_aviso_RRF"
163	9	1.00290779072215	"SILIGOOT"	"intercrop_aviso_RRF"
177	10	1.27174528196785	"SILIGOOT"	"intercrop_aviso_RRF"
190	11	1.58532111472047	"SILIGOOT"	"intercrop_aviso_RRF"
206	12	2.0788842629074	"SILIGOOT"	"intercrop_aviso_RRF"
224	13	2.81901971901274	"SILIGOOT"	"intercrop_aviso_RRF"
243	14	3.88568246553573	"SILIGOOT"	"intercrop_aviso_RRF"
262	15	5.35167425762743	"SILIGOOT"	"intercrop_aviso_RRF"
281	16	7.36267808679889	"SILIGOOT"	"intercrop_aviso_RRF"
296	17	9.46159241715885	"SILIGOOT"	"intercrop_aviso_RRF"
315	18	12.9771122731929	"SILIGOOT"	"intercrop_aviso_RRF"
335	19	18.0459138799512	"SILIGOOT"	"intercrop_aviso_RRF"
353	20	24.1988138763929	"SILIGOOT"	"intercrop_aviso_RRF"
365	21	29.3588874290936	"SILIGOOT"	"intercrop_aviso_RRF"
379	22	36.678876698459	"SILIGOOT"	"intercrop_aviso_RRF"
393	23	45.6498799556618	"SILIGOOT"	"intercrop_aviso_RRF"
409	24	58.2833224079013	"SILIGOOT"	"intercrop_aviso_RRF"
428	25	77.1323401182702	"SILIGOOT"	"intercrop_aviso_RRF"
446	26	99.3463300062027	"SILIGOOT"	"intercrop_aviso_RRF"
465	27	127.704246828286	"SILIGOOT"	"intercrop_aviso_RRF"
483	28	159.104691781611	"SILIGOOT"	"intercrop_aviso_RRF"
501	29	194.281684641222	"SILIGOOT"	"intercrop_aviso_RRF"
522	30	238.505077509711	"SILIGOOT"	"intercrop_aviso_RRF"
534	31	264.390049993738	"SILIGOOT"	"intercrop_aviso_RRF"
543	32	283.692038252109	"SILIGOOT"	"intercrop_aviso_RRF"
551	33	300.569222892896	"SILIGOOT"	"intercrop_aviso_RRF"
560	34	319.05328609652	"SILIGOOT"	"intercrop_aviso_RRF"
574	35	346.338658416672	"SILIGOOT"	"intercrop_aviso_RRF"
592	36	378.056206826724	"SILIGOOT"	"intercrop_aviso_RRF"
607	37	401.154711011022	"SILIGOOT"	"intercrop_aviso_RRF"
620	38	418.614196031156	"SILIGOOT"	"intercrop_aviso_RRF"
633	39	433.748829464465	"SILIGOOT"	"intercrop_aviso_RRF"
642	40	442.934648720509	"SILIGOOT"	"intercrop_aviso_RRF"
654	41	453.658470027053	"SILIGOOT"	"intercrop_aviso_RRF"
667	42	463.490642235624	"SILIGOOT"	"intercrop_aviso_RRF"
679	43	471.108884956488	"SILIGOOT"	"intercrop_aviso_RRF"
691	44	477.509077790822	"SILIGOOT"	"intercrop_aviso_RRF"
704	45	483.261524123451	"SILIGOOT"	"intercrop_aviso_RRF"
717	46	487.974356587466	"SILIGOOT"	"intercrop_aviso_RRF"
728	47	491.27822957541	"SILIGOOT"	"intercrop_aviso_RRF"
739	48	494.052704152806	"SILIGOOT"	"intercrop_aviso_RRF"
751	49	496.569403455367	"SILIGOOT"	"intercrop_aviso_RRF"
762	50	498.483170733999	"SILIGOOT"	"intercrop_aviso_RRF"
769	51	499.533561646862	"SILIGOOT"	"intercrop_aviso_RRF"
779	52	500.839153111484	"SILIGOOT"	"intercrop_aviso_RRF"
791	53	502.146121598623	"SILIGOOT"	"intercrop_aviso_RRF"
801	54	503.053002942856	"SILIGOOT"	"intercrop_aviso_RRF"
810	55	503.749524571782	"SILIGOOT"	"intercrop_aviso_RRF"
819	56	504.348763495756	"SILIGOOT"	"intercrop_aviso_RRF"
828	57	504.864120363052	"SILIGOOT"	"intercrop_aviso_RRF"
836	58	505.261212804461	"SILIGOOT"	"intercrop_aviso_RRF"
844	59	505.608319548983	"SILIGOOT"	"intercrop_aviso_RRF"
854	60	505.981336025795	"SILIGOOT"	"intercrop_aviso_RRF"
868	61	506.40834996142	"SILIGOOT"	"intercrop_aviso_RRF"
880	62	506.702017332541	"SILIGOOT"	"intercrop_aviso_RRF"
890	63	506.905089950657	"SILIGOOT"	"intercrop_aviso_RRF"
900	64	507.07653972293	"SILIGOOT"	"intercrop_aviso_RRF"
909	65	507.207879372919	"SILIGOOT"	"intercrop_aviso_RRF"
920	66	507.343444610259	"SILIGOOT"	"intercrop_aviso_RRF"
932	67	507.465165950358	"SILIGOOT"	"intercrop_aviso_RRF"
942	68	507.549288567123	"SILIGOOT"	"intercrop_aviso_RRF"
952	69	507.620280689859	"SILIGOOT"	"intercrop_aviso_RRF"
959	70	507.663271836706	"SILIGOOT"	"intercrop_aviso_RRF"
967	71	507.706537831919	"SILIGOOT"	"intercrop_aviso_RRF"
976	72	507.748678471616	"SILIGOOT"	"intercrop_aviso_RRF"
980	73	507.765437009264	"SILIGOOT"	"intercrop_aviso_RRF"
983	74	507.777279494882	"SILIGOOT"	"intercrop_aviso_RRF"
988	75	507.795724002352	"SILIGOOT"	"intercrop_aviso_RRF"
993	76	507.812666586744	"SILIGOOT"	"intercrop_aviso_RRF"
998	77	507.828229460233	"SILIGOOT"	"intercrop_aviso_RRF"
1001	78	507.83695202075	"SILIGOOT"	"intercrop_aviso_RRF"
